iter	Passed	Remaining
0	3	3489
1	5	2859
2	8	2664
3	10	2542
4	12	2463
5	14	2423
6	16	2383
7	19	2356
8	21	2339
9	23	2319
10	25	2307
11	27	2294
12	30	2285
13	32	2275
14	34	2267
15	36	2261
16	39	2264
17	41	2271
18	43	2266
19	46	2258
20	48	2250
21	50	2244
22	52	2237
23	54	2232
24	57	2227
25	59	2222
26	61	2217
27	63	2211
28	65	2207
29	68	2202
30	70	2197
31	72	2194
32	74	2190
33	76	2186
34	79	2181
35	81	2179
36	83	2175
37	85	2174
38	88	2171
39	90	2177
40	92	2172
41	95	2168
42	97	2166
43	99	2163
44	101	2160
45	104	2157
46	106	2153
47	108	2151
48	110	2148
49	112	2144
50	115	2142
51	117	2138
52	119	2136
53	121	2133
54	123	2129
55	126	2127
56	128	2124
57	130	2122
58	132	2120
59	135	2118
60	137	2114
61	139	2115
62	142	2112
63	144	2109
64	146	2107
65	148	2104
66	150	2101
67	153	2098
68	155	2096
69	157	2092
70	159	2090
71	161	2086
72	164	2083
73	166	2080
74	168	2078
75	170	2075
76	172	2073
77	175	2070
78	177	2067
79	179	2066
80	181	2064
81	184	2063
82	186	2061
83	189	2064
84	191	2062
85	193	2059
86	195	2056
87	198	2053
88	200	2050
89	202	2047
90	204	2045
91	206	2042
92	209	2039
93	211	2036
94	213	2034
95	215	2031
96	217	2028
97	220	2025
98	222	2022
99	224	2019
100	226	2017
101	228	2014
102	230	2011
103	233	2009
104	235	2006
105	237	2003
106	240	2004
107	242	2002
108	244	2000
109	247	1998
110	249	1996
111	251	1993
112	253	1991
113	255	1988
114	258	1986
115	260	1983
116	262	1980
117	264	1977
118	266	1975
119	269	1972
120	271	1970
121	273	1968
122	275	1966
123	277	1963
124	280	1961
125	282	1959
126	284	1957
127	286	1954
128	289	1954
129	291	1953
130	294	1950
131	296	1947
132	298	1945
133	300	1942
134	302	1940
135	305	1937
136	307	1934
137	309	1932
138	311	1929
139	313	1926
140	315	1924
141	318	1922
142	320	1919
143	322	1917
144	324	1915
145	327	1912
146	329	1910
147	331	1907
148	333	1904
149	335	1902
150	338	1902
151	340	1899
152	342	1897
153	344	1894
154	347	1892
155	349	1889
156	351	1887
157	353	1885
158	355	1882
159	358	1879
160	360	1877
161	362	1874
162	364	1872
163	366	1870
164	369	1867
165	371	1866
166	373	1864
167	375	1861
168	378	1858
169	380	1857
170	382	1854
171	384	1851
172	387	1850
173	389	1848
174	391	1845
175	393	1843
176	395	1840
177	398	1838
178	400	1836
179	402	1833
180	404	1831
181	406	1828
182	409	1826
183	411	1823
184	413	1821
185	415	1819
186	417	1817
187	420	1815
188	422	1812
189	424	1810
190	426	1807
191	429	1805
192	431	1803
193	433	1801
194	435	1799
195	438	1797
196	440	1794
197	442	1792
198	444	1790
199	446	1787
200	449	1785
201	451	1782
202	453	1780
203	455	1778
204	458	1776
205	460	1773
206	462	1771
207	464	1769
208	466	1766
209	468	1764
210	471	1762
211	473	1759
212	475	1757
213	478	1755
214	480	1753
215	482	1751
216	485	1751
217	487	1748
218	489	1746
219	491	1743
220	494	1741
221	496	1739
222	498	1737
223	500	1734
224	502	1732
225	505	1730
226	507	1727
227	509	1725
228	511	1723
229	513	1720
230	516	1718
231	518	1715
232	520	1713
233	522	1711
234	525	1709
235	527	1707
236	529	1705
237	531	1702
238	534	1701
239	536	1699
240	538	1696
241	541	1694
242	543	1692
243	545	1690
244	547	1687
245	549	1685
246	552	1683
247	554	1681
248	556	1678
249	558	1676
250	561	1674
251	563	1672
252	565	1670
253	567	1668
254	570	1665
255	572	1663
256	574	1661
257	577	1659
258	579	1657
259	581	1655
260	584	1654
261	586	1652
262	588	1650
263	591	1647
264	593	1645
265	595	1643
266	597	1641
267	600	1639
268	602	1637
269	604	1634
270	606	1632
271	609	1630
272	611	1628
273	613	1626
274	615	1623
275	618	1621
276	620	1619
277	622	1617
278	625	1615
279	627	1612
280	629	1610
281	631	1608
282	634	1607
283	636	1604
284	638	1602
285	640	1600
286	643	1597
287	645	1595
288	647	1593
289	649	1591
290	652	1588
291	654	1586
292	656	1584
293	658	1582
294	661	1580
295	663	1578
296	665	1575
297	668	1573
298	670	1571
299	672	1569
300	674	1566
301	677	1564
302	679	1562
303	681	1560
304	684	1558
305	686	1556
306	688	1554
307	690	1552
308	693	1550
309	695	1547
310	697	1545
311	699	1543
312	702	1540
313	704	1538
314	706	1536
315	708	1534
316	710	1531
317	713	1529
318	715	1527
319	717	1525
320	720	1523
321	722	1521
322	724	1518
323	726	1516
324	729	1514
325	731	1513
326	734	1510
327	736	1508
328	738	1506
329	740	1503
330	742	1501
331	745	1499
332	747	1497
333	749	1494
334	751	1492
335	754	1490
336	756	1488
337	758	1485
338	760	1483
339	763	1481
340	765	1479
341	767	1476
342	769	1474
343	771	1472
344	774	1469
345	776	1467
346	778	1465
347	781	1464
348	783	1461
349	785	1459
350	788	1457
351	790	1455
352	792	1452
353	794	1450
354	797	1448
355	799	1446
356	801	1444
357	804	1441
358	806	1439
359	808	1437
360	810	1435
361	813	1433
362	815	1430
363	817	1428
364	820	1426
365	822	1424
366	824	1422
367	826	1420
368	829	1418
369	831	1416
370	834	1414
371	836	1411
372	838	1409
373	840	1407
374	842	1404
375	845	1402
376	847	1400
377	849	1397
378	851	1395
379	853	1393
380	856	1390
381	858	1388
382	860	1386
383	862	1383
384	864	1381
385	867	1379
386	869	1377
387	871	1374
388	873	1372
389	876	1370
390	878	1368
391	880	1366
392	883	1364
393	885	1362
394	887	1359
395	890	1357
396	892	1355
397	894	1353
398	896	1350
399	899	1348
400	901	1346
401	903	1344
402	905	1341
403	907	1339
404	910	1337
405	912	1334
406	914	1332
407	916	1330
408	919	1328
409	921	1325
410	923	1323
411	925	1321
412	928	1319
413	930	1317
414	932	1315
415	935	1312
416	937	1310
417	939	1308
418	941	1305
419	943	1303
420	946	1301
421	948	1299
422	950	1296
423	953	1294
424	955	1292
425	957	1290
426	959	1287
427	961	1285
428	964	1283
429	966	1281
430	968	1278
431	970	1276
432	973	1274
433	975	1272
434	977	1270
435	980	1268
436	982	1265
437	984	1263
438	986	1261
439	989	1258
440	991	1256
441	993	1254
442	995	1252
443	998	1249
444	1000	1247
445	1002	1245
446	1004	1243
447	1006	1240
448	1009	1238
449	1011	1236
450	1013	1233
451	1015	1231
452	1018	1229
453	1020	1227
454	1022	1224
455	1024	1222
456	1027	1220
457	1029	1218
458	1031	1216
459	1034	1214
460	1036	1211
461	1038	1209
462	1040	1207
463	1043	1204
464	1045	1202
465	1047	1200
466	1049	1198
467	1051	1195
468	1054	1193
469	1056	1191
470	1058	1188
471	1060	1186
472	1063	1184
473	1065	1182
474	1067	1179
475	1069	1177
476	1071	1175
477	1074	1173
478	1076	1171
479	1079	1169
480	1081	1166
481	1083	1164
482	1085	1162
483	1088	1160
484	1090	1157
485	1092	1155
486	1094	1153
487	1097	1151
488	1099	1148
489	1101	1146
490	1103	1144
491	1105	1141
492	1107	1139
493	1110	1137
494	1112	1134
495	1114	1132
496	1116	1130
497	1118	1127
498	1121	1125
499	1123	1123
500	1125	1121
501	1128	1119
502	1130	1116
503	1132	1114
504	1134	1111
505	1136	1109
506	1138	1107
507	1140	1105
508	1143	1102
509	1145	1100
510	1147	1098
511	1149	1095
512	1151	1093
513	1154	1091
514	1156	1088
515	1158	1086
516	1160	1084
517	1162	1081
518	1164	1079
519	1167	1077
520	1169	1075
521	1171	1072
522	1173	1070
523	1176	1068
524	1178	1066
525	1180	1063
526	1182	1061
527	1184	1059
528	1187	1056
529	1189	1054
530	1191	1052
531	1193	1050
532	1195	1047
533	1198	1045
534	1200	1043
535	1202	1040
536	1204	1038
537	1206	1036
538	1208	1033
539	1211	1031
540	1213	1029
541	1215	1027
542	1217	1024
543	1219	1022
544	1221	1020
545	1224	1018
546	1226	1015
547	1228	1013
548	1230	1011
549	1233	1008
550	1235	1006
551	1237	1004
552	1239	1001
553	1241	999
554	1243	997
555	1245	994
556	1247	992
557	1250	990
558	1252	987
559	1254	985
560	1256	983
561	1258	980
562	1260	978
563	1263	976
564	1265	974
565	1267	971
566	1269	969
567	1271	967
568	1274	965
569	1276	962
570	1278	960
571	1280	958
572	1282	956
573	1285	953
574	1287	951
575	1289	949
576	1291	946
577	1293	944
578	1296	942
579	1298	940
580	1300	937
581	1302	935
582	1304	933
583	1307	931
584	1309	928
585	1311	926
586	1313	924
587	1315	921
588	1318	919
589	1320	917
590	1322	915
591	1325	913
592	1327	910
593	1329	908
594	1331	906
595	1333	904
596	1336	901
597	1338	899
598	1340	897
599	1342	895
600	1344	892
601	1347	890
602	1349	888
603	1351	886
604	1353	883
605	1355	881
606	1357	879
607	1360	876
608	1362	874
609	1365	872
610	1367	870
611	1369	868
612	1371	866
613	1373	863
614	1376	861
615	1378	859
616	1380	856
617	1382	854
618	1384	852
619	1386	849
620	1388	847
621	1390	845
622	1393	843
623	1395	840
624	1397	838
625	1399	836
626	1401	833
627	1404	831
628	1406	829
629	1408	827
630	1410	824
631	1412	822
632	1414	820
633	1417	818
634	1419	815
635	1421	813
636	1424	811
637	1426	809
638	1428	806
639	1430	804
640	1432	802
641	1434	800
642	1437	797
643	1439	795
644	1441	793
645	1443	791
646	1445	788
647	1448	786
648	1450	784
649	1452	782
650	1454	779
651	1457	777
652	1459	775
653	1461	773
654	1463	771
655	1466	768
656	1468	766
657	1470	764
658	1473	762
659	1475	759
660	1477	757
661	1480	755
662	1482	753
663	1484	751
664	1486	749
665	1489	746
666	1491	744
667	1493	742
668	1495	739
669	1497	737
670	1499	735
671	1502	733
672	1504	730
673	1506	728
674	1508	726
675	1511	724
676	1513	722
677	1515	719
678	1517	717
679	1520	715
680	1522	713
681	1524	710
682	1526	708
683	1529	706
684	1531	704
685	1533	701
686	1535	699
687	1537	697
688	1540	695
689	1542	692
690	1544	690
691	1546	688
692	1549	686
693	1551	683
694	1553	681
695	1555	679
696	1557	677
697	1560	674
698	1562	672
699	1564	670
700	1566	668
701	1569	666
702	1571	664
703	1573	661
704	1576	659
705	1578	657
706	1580	654
707	1582	652
708	1584	650
709	1586	648
710	1589	645
711	1591	643
712	1593	641
713	1595	639
714	1597	636
715	1600	634
716	1602	632
717	1604	630
718	1607	628
719	1609	625
720	1611	623
721	1613	621
722	1615	619
723	1618	616
724	1620	614
725	1622	612
726	1624	610
727	1627	607
728	1629	605
729	1631	603
730	1633	601
731	1636	599
732	1638	596
733	1640	594
734	1642	592
735	1644	590
736	1647	587
737	1649	585
738	1651	583
739	1653	581
740	1655	578
741	1658	576
742	1660	574
743	1662	572
744	1664	569
745	1667	567
746	1669	565
747	1671	563
748	1673	560
749	1675	558
750	1677	556
751	1680	554
752	1682	551
753	1684	549
754	1686	547
755	1688	545
756	1691	542
757	1693	540
758	1695	538
759	1697	536
760	1699	533
761	1702	531
762	1704	529
763	1706	527
764	1708	524
765	1710	522
766	1713	520
767	1715	518
768	1717	516
769	1720	513
770	1722	511
771	1724	509
772	1726	507
773	1728	504
774	1731	502
775	1733	500
776	1735	498
777	1737	495
778	1740	493
779	1742	491
780	1744	489
781	1746	486
782	1748	484
783	1751	482
784	1753	480
785	1755	477
786	1757	475
787	1759	473
788	1762	471
789	1764	469
790	1767	466
791	1769	464
792	1771	462
793	1773	460
794	1775	457
795	1778	455
796	1780	453
797	1782	451
798	1784	448
799	1786	446
800	1788	444
801	1790	442
802	1792	439
803	1794	437
804	1797	435
805	1799	433
806	1801	430
807	1803	428
808	1805	426
809	1808	424
810	1810	421
811	1812	419
812	1814	417
813	1817	415
814	1819	413
815	1821	410
816	1823	408
817	1826	406
818	1828	404
819	1830	401
820	1832	399
821	1834	397
822	1836	395
823	1838	392
824	1840	390
825	1843	388
826	1845	385
827	1847	383
828	1849	381
829	1851	379
830	1853	377
831	1855	374
832	1858	372
833	1860	370
834	1862	368
835	1865	365
836	1867	363
837	1869	361
838	1871	359
839	1873	356
840	1875	354
841	1877	352
842	1880	350
843	1882	347
844	1884	345
845	1886	343
846	1888	341
847	1890	338
848	1892	336
849	1894	334
850	1897	332
851	1899	329
852	1901	327
853	1903	325
854	1906	323
855	1908	320
856	1910	318
857	1912	316
858	1915	314
859	1917	312
860	1919	309
861	1921	307
862	1923	305
863	1925	303
864	1928	300
865	1930	298
866	1932	296
867	1934	294
868	1936	291
869	1938	289
870	1941	287
871	1943	285
872	1945	283
873	1947	280
874	1949	278
875	1951	276
876	1954	274
877	1956	271
878	1958	269
879	1960	267
880	1963	265
881	1965	262
882	1967	260
883	1970	258
884	1972	256
885	1974	254
886	1976	251
887	1978	249
888	1981	247
889	1983	245
890	1985	242
891	1987	240
892	1989	238
893	1991	236
894	1994	233
895	1996	231
896	1998	229
897	2000	227
898	2002	225
899	2005	222
900	2007	220
901	2009	218
902	2011	216
903	2014	213
904	2016	211
905	2018	209
906	2020	207
907	2023	204
908	2025	202
909	2027	200
910	2029	198
911	2031	196
912	2034	193
913	2036	191
914	2038	189
915	2040	187
916	2043	184
917	2045	182
918	2047	180
919	2049	178
920	2052	176
921	2054	173
922	2056	171
923	2058	169
924	2061	167
925	2063	164
926	2065	162
927	2068	160
928	2070	158
929	2072	155
930	2074	153
931	2077	151
932	2079	149
933	2081	147
934	2083	144
935	2085	142
936	2088	140
937	2090	138
938	2092	135
939	2095	133
940	2097	131
941	2099	129
942	2101	127
943	2103	124
944	2106	122
945	2108	120
946	2110	118
947	2113	115
948	2115	113
949	2117	111
950	2119	109
951	2121	106
952	2123	104
953	2126	102
954	2128	100
955	2130	98
956	2132	95
957	2134	93
958	2137	91
959	2139	89
960	2141	86
961	2143	84
962	2146	82
963	2148	80
964	2150	77
965	2152	75
966	2154	73
967	2156	71
968	2159	69
969	2162	66
970	2164	64
971	2166	62
972	2168	60
973	2170	57
974	2172	55
975	2174	53
976	2177	51
977	2179	49
978	2181	46
979	2183	44
980	2185	42
981	2187	40
982	2189	37
983	2191	35
984	2194	33
985	2196	31
986	2198	28
987	2200	26
988	2202	24
989	2204	22
990	2207	20
991	2209	17
992	2211	15
993	2213	13
994	2216	11
995	2218	8
996	2220	6
997	2222	4
998	2224	2
999	2226	0
